Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Environmental Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",Mid- to High 80s,Co-op program,75,English
Environmental Engineering (co-op and regular),University of Guelph,"Bachelor of Engineering, BEng",84 to 89%,Co-op option available with this program,N/A,English
Environmental Geoscience,Trent University,"Bachelor of Science, BSc",75%,Practicum or internship option available,60,English
Environmental Geoscience (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78%; co-op 80%,Co-op option available with this program,10,English
Environmental Geosciences,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op option available with this program,516										(total for all Mathematics and Science programs),English
Environmental Management,University of Guelph,"Bachelor of Bio-Resource Management, BBRM",75 to 80%,Co-op or internship option available,N/A,English
Environmental Management (co-op available) (Thunder Bay),Lakehead University,"Bachelor of Environmental Management, BEM",70%,Co-op or internship option available,Open Enrollment,English
Environmental Resource Science and Business,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Environmental Resource Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,"1,600",English
Environmental Science (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78%; co-op 80%,Co-op option available with this program,26,English
Environmental Science (BSc 4 Year),Algoma University,"Bachelor of Science, BSc",65%,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Environmental Science (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid-70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Environmental Science (BSc) - Faculty of Environmental & Urban Change,York University,"Bachelor of Science, BSc",Low to mid 80s,Co-op option available with this program,25,English
Environmental Science (BSc) - Faculty of Science,York University,"Bachelor of Science, BSc",Low to mid-80s,Co-op option available with this program,25										Open,English
Environmental Science/Environmental Studies,University of Windsor,"Bachelor of Environmental Studies, BES
Bachelor of Science, BSc",70 to 89%,Class-based experiential education,No limit,English
Environmental Science/Studies (Honours),Trent University,"Bachelor of Environmental Studies, BES",75% minimum,Practicum or internship option available,75,English
Environmental Sciences (Regular/Co-op),University of Waterloo,"Bachelor of Science, BSc",Low 80s,Co-op option available with this program,36,English
Environmental Studies (4 years) (English Program) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75%; co-op 80%,Co-op option available with this program,27										The number of students enrolled in all the Environmental Studies disciplines last year,English
Environmental Studies (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Environmental Sustainability (co-op available) (Orillia),Lakehead University,"Bachelor of Arts and Sciences, BASc",70%,Co-op or internship option available,Open Enrollment,English
Environmental and Earth Sciences I,McMaster University,"Bachelor of Science, BSc",Mid- to high 80s,Co-op available by major,85,English
Environmental and Resource Science (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Environmental and Resource Studies (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Equine Management,University of Guelph,"Bachelor of Bio-Resource Management, BBRM",75 to 80%,Co-op or internship option available,N/A,English
"Equity, Diversity and Human Rights",Laurentian University,"Bachelor of Arts, BA",70%,Class-based experiential education,Open,English
"Ethics and Contemporary Social Issues (Certificate, Part-time Only) (1 year)",University of Ottawa – Saint Paul University,"Certificate, Cert",70% min.,Class-based experiential education,Open,English
Ethics and Political Philosophy (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75%,Embedded community engagement/volunteerism/partnership,51										The number of students enrolled in all the Philosophy disciplines last year,English
Ethics and Political Philosophy (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Embedded community engagement/volunteerism/partnership,400										(total for all programs),English & French
Experimental Animation,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Forensic Chemistry,Trent University,"Bachelor of Science, BSc",75% minimum,Not Available,80,English
Family Studies & Human Development,Western University,"Bachelor of Arts, BA
Bachelor of Science, BSc",Low 80s,Co-op available by major,Contact the university for more information,English
Family Studies and Human Development,University of Guelph,"Bachelor of Applied Science, BASc",75 to 80%,Practicum or internship option available,N/A,English
Family and Social Relations,University of Windsor,"Bachelor of Arts, BA",70-85%,Not Available,N/A,English
Fashion,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Design, BDes",High 70s,Practicum or internship option available,198,English
Feminist and Gender Studies (4-year major) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,10,English
Feminist and Gender Studies and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,10										The number of students enrolled in all the Feminist and Gender Studies disciplines last year,English
Feminist and Gender Studies and Sociology (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,10										The number of students enrolled in all the Feminist and Gender Studies disciplines last year,English
Film Production,University of Windsor,"Bachelor of Fine Arts, BFA",70% to 88%,Class-based experiential education,No limit,English
Film Studies,Brock University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,"1,364										(total for all Social Science programs)",English
Finance,Ontario Tech University,"Bachelor of Commerce, BCom",Low 70s,Co-op or internship option available,250,English
Finance (Co-op),Ontario Tech University,"Bachelor of Commerce (Co-op), BCom (Co-op)",Low 70s,Co-op program,250,English
Finance and Economics (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Finance and Economics (Brampton) (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Finance and Wealth Management,Western University – King's University College,"Bachelor of Arts, BA",78-80%,Co-op option available with this program,60,English
Financial & Business Economics (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,150										Open,English
Financial Mathematics (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Science, BSc",Mid 70s,Co-op available by application after first year of studies,50,English
Financial Mathematics and Analytics (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Mid 70s,Co-op or internship application available at the university after registration,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
Financial Mathematics and Analytics (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid 70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Financial Mathematics and Economics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,33,English
Financial Science,Trent University,"Bachelor of Science, BSc",75% minimum,Practicum or internship option available,200,English
Financial Science (Honours Science) - Co-op,Trent University,"Bachelor of Science, BSc",80%,Co-op program,20,English
Financial Technologies (BSc),York University – Markham Campus,"Bachelor of Science, BSc",Low 80s,Co-op or internship option available,60,English
Fine Arts (Visual Arts) (BFA 4 year),Algoma University,"Bachelor of Fine Arts, BFA",65%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Fine Arts – Studio,Western University,"Bachelor of Fine Arts, BFA",Low 80s,Co-op or internship application available at the university after registration,"Small, intimate class",English
First Year Engineering Core Program,York University – Markham Campus,"Bachelor of Engineering, BEng",Low to mid 80s,Co-op or internship option available,50,English
First Year Exploration BA (First year only) (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA",Mid- to high 70s,Class-based experiential education,400										(total for all programs),English & French
First Year Science Program,York University – Markham Campus,"Bachelor of Science, BSc",Low-80s,Not Available,48,English
Food Sciences (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc",+/- 73 %,Practicum or internship option available,100										Maximum enrollment in Food Sciences,English
Forensic Biology,Trent University,"Bachelor of Science, BSc",75% minimum,Practicum or internship option available,80,English
Forensic Psychology,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,500,English
Forensic Psychology and Criminal Justice,Brock University,"Bachelor of Arts, BA",Mid 80s,Practicum or internship option available,"1,364										(total for all Social Science programs)",English
Forensic Science,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Practicum or internship option available,65,English
Forensic Science,Laurentian University,"Bachelor of Science, BSc",80%,Practicum or internship option available,Open,English
Forensic Science,University of Toronto Mississauga,"Bachelor of Science, BSc",Mid to high 70s,Practicum or internship option available,200,English
Forensic Science,Trent University,"Bachelor of Science in Forensic Science, BScFS",75% minimum,Practicum or internship option available,80,English
Forensic Science and Biology,Laurentian University,"Bachelor of Science, BSc",80%,Practicum or internship option available,Open,English
Forensic Science and Chemistry,Laurentian University,"Bachelor of Science, BSc",80%,Practicum or internship option available,Open,English
Forensic Science/Forensics,University of Windsor,"Bachelor of Arts, BA
Bachelor of Forensic Science, BFS",70% to 85%,Practicum or internship option available,75,English
Forensics and Arts,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Forensics and Business,Trent University,"Bachelor of Arts, BA",Minimum 70%,Not Available,200,English
Forensics and Science,Trent University,"Bachelor of Science, BSc",70% minimum,Not Available,200,English
Forestry (co-op available) (Thunder Bay),Lakehead University,"Bachelor of Science in Forestry, BScF",70%,Co-op or internship option available,Open Enrollment,English
Foundations of Indigenous Learning,Trent University,"Diploma, Dipl.",N/A,Practicum or internship option available,15,English
French,University of Windsor,"Bachelor of Arts, BA",70-86%,Co-op option available with this program,N/A,English
French & Fracophone Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",80 to 85%,Co-op program,50										50,English
French & Francophone Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
French & Francophone Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
French (Thunder Bay),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English & French
French and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
French as a Second Language (4-year major),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Class-based experiential education,17,English
French with Co-operative Education,University of Windsor,"Bachelor of Arts, BA",80%,Co-op option available with this program,12,English
Game Design,Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Low 80s,Not Available,25,English
Game Design & Development (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Class-based experiential education,592										(all Faculty of Human and Social Sciences programs combined),English
Game Development and Interactive Media,Ontario Tech University,"Bachelor of Information Technology, BIT",Mid-70s,Co-op or internship option available,100,English
Game Programming,Brock University,"Bachelor of Science, BSc
Diploma, Dipl.",Low 80s,Not Available,25,English
Gender & Social Justice,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Gender & Social Justice,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Gender & Social Justice (Hounours Arts)  – Co-op,Trent University,"Bachelor of Arts, BA",80 to 85%,Co-op program,50,English
Gender & Social Justice and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Gender and Women’s Studies (Thunder Bay),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
"General (Arts or Science) (Thunder Bay, Orillia & Online)",Lakehead University,"Bachelor of Arts, BA
Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
General Bachelor of Computing,University of Guelph,"Bachelor of Computing, BComp",87 to 91%,Not Available,N/A,English
General Engineering,University of Windsor,"Bachelor of Applied Science, BASc",74-88%,Co-op option available with this program,400										Includes all Engineering programs,English
General Humanities,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,618										For all Humanities programs,English
General Science,University of Windsor,"Bachelor of Science, BSc",70-85%,Class-based experiential education,No limit,English
Geoarchaeology (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Geographic Analysis Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,30,English
Geography (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75 %; co-op 80%,Co-op option available with this program,20,English
Geography (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Practicum or internship option available,This is an open enrollment program. First-year admissions are not capped.,English
Geography (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Practicum or internship option available,This is an open enrollment program. First-year admissions are not capped.,English
Geography (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Geography (BA),Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Mid-70s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
Geography (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 80s,Co-op program,"4,432										(all Faculty of Arts programs combined)",English
Geography (BSc),Brock University,"Bachelor of Science, BSc
Diploma, Dipl.",Mid-70s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
Geography (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Low 70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Geography (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Geography and Aviation,University of Waterloo,"Bachelor of Environmental Studies, BES",mid-80s,Practicum or internship option available,61,English
Geography and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Geography and Environmental Management (Regular/Co-op),University of Waterloo,"Bachelor of Environmental Studies, BES",Low 80s,Co-op option available with this program,44,English
Geography and the Environment (includes Environmental Science and Studies) (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA
Bachelor of Arts and Sciences, BASc
Bachelor of Engineering Science, BESc
Bachelor of Environmental Studies, BES",70%,Not Available,Open Enrollment,English
Geological Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",Mid- to High 80s,Co-op program,22,English
Geology (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,10,English
Geology (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Geology-Physics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,10,English
Geomatics (Regular/Co-op),University of Waterloo,"Bachelor of Environmental Studies, BES",Low 80s,Co-op option available with this program,47,English
Gerontology,Laurentian University,"Bachelor of Arts, BA",70%,Practicum or internship option available,Open,English
Global Business and Digital Arts (Co-op only),University of Waterloo,"Bachelor of Global Business and Digital Arts, BGBDA",Low 80s,Co-op program,160,English
Global Development Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Global Development Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",N/A,Co-op program,50,English
Global Development Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Global Geography (BA),York University,"Bachelor of Arts, BA",Mid to high-70s,Practicum or internship option available,40										Open,English
Global Health (BA),York University,"Bachelor of Arts, BA",Mid- to High 70s,Practicum or internship option available,100										Open,English
Global Health (BSc),York University,"Bachelor of Science, BSc",Mid to High-70s,Faculty research opportunity,100										Open,English
Global Political Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,25										Open,English
Global Studies,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,N/A,English
"Global Studies (BA) + International Development (MA), University of Sussex",Wilfrid Laurier University,"Bachelor of Arts/Master of Arts, BA/MA",Low 70s,Field placement,"4,432",English
Global Studies (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Global and International Studies,Carleton University,"Bachelor in Global and International Studies, BGInS",75-77%,Co-op program,200										(total for all BGInS programs),English
Global history and justice (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Embedded community engagement/volunteerism/partnership,400										(total for all programs),English & French
Graphic Communications Management,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Technology, BTech",High 70s,Practicum or internship option available,170,English
Graphic Design,OCAD University,"Bachelor of Design, BDes",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Greek and Roman Studies,University of Windsor,"Bachelor of Arts, BA",70% to 86%,Practicum or internship option available,N/A,English
Greek and Roman Studies (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Practicum or internship option available,10,English
History and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,110										The number of students enrolled in all the History disciplines last year,English
History and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75 %; co-op 80%,Co-op option available with this program,110										The number of students enrolled in all the History disciplines last year,English
Health & Behaviour,Trent University,"Bachelor of Science, BSc",75-80%,Practicum or internship option available,200,English
Health & Society (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,40										Open,English
Health & Society I,McMaster University,"Bachelor of Arts, BA",Low to Mid-80s,Practicum or internship option available,60,English
Health Administration,Ontario Tech University,"Bachelor of Health Administration, BHA",Mid-70s,Practicum or internship option available,25										New program - TBD,English
"Health Policy, Management & Digital Health (BHS)",York University,"Bachelor of Health Studies, BHS",Mid to High 70s,Field placement,65,English
Health Promotion,Laurentian University,"Bachelor of Physical and Health Education, BPHE",75%,Class-based experiential education,Open,English
Health Science,Western University,"Bachelor of Health Sciences, BHSc",High 80s to low 90s,Co-op or internship application available at the university after registration,400,English
Health Science (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid-80s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Health Sciences,Ontario Tech University,"Bachelor of Health Sciences, BHSc",Low 70s,Practicum or internship option available,100,English
Health Sciences,Queen's University,"Bachelor of Health Science, BHSc",Mid 90s,Co-op or internship option available,370,English
Health Sciences (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Health Sciences, BHSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 75%,Co-op available by application after first year of studies,422										Maximum enrollment in Health Sciences,English
Health Sciences (Regular/Co-op),University of Waterloo,"Bachelor of Science, BSc","Mid-80s (Regular system of study), High 80s (Co-op system of study)",Co-op option available with this program,213,English
Health Sciences – Honours (4 years),Carleton University,"Bachelor of Health Sciences, BHSc",85–88%,Not Available,100,English
Health Studies (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,592										(all Faculty of Human and Social Sciences programs combined),English
"Health Studies (BA) + Public Health / Global Health (MSc), Brighton and Sussex Medical School",Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts/Master of Science, BA/MSc",Low 70s,Practicum or internship option available,592										(all Faculty of Human and Social Sciences programs combined),English
Health Studies (BHS),York University,"Bachelor of Health Studies, BHS",Mid to High 70s,Embedded community engagement/volunteerism/partnership,200										Open,English
History,Brock University,"Bachelor of Arts, BA","Mid-70s, high 70s for co-op",Co-op option available with this program,618										(total for all Humanities programs),English
History,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
History,University of Windsor,"Bachelor of Arts, BA",70-85%,Co-op option available with this program,N/A,English
History,Laurentian University,"Bachelor of Arts, BA",70%,Faculty research opportunity,Open,English
History (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)",+/- 75 %; co-op 80%,Co-op option available with this program,110										The number of students enrolled in all the History disciplines last year,English
History (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
History (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
History (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Field placement,577										(all Faculty of Liberal Arts programs combined),English
"History (BA, iBA)",York University,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid to High 70s,Practicum or internship option available,100										Open,English
History (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",80-85%,Co-op program,50,English
History (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Co-op available by application after first year of studies,60,English
History (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
History and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Honours  Science,Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70% minimum,Not Available,200,English
Honours Arts,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Honours Arts,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Honours Arts (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",N/A,Not Available,N/A,English
Honours Arts (BA) in French with Teaching Option,Wilfrid Laurier University,"Bachelor of Arts, BA",Low 70s,Co-op or internship application available at the university after registration,"4,432										(all Faculty of Arts programs combined)",English
Honours Arts (Regular/Co-op),University of Waterloo,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,330,English
Honours Arts (Renison University College),University of Waterloo – Renison University College,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,365										(includes University of Waterloo and St. Jerome's),English
Honours Arts and Business (Regular/Co-op),University of Waterloo – St. Jerome's University,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,400										(includes enrollment on main University of Waterloo campus),English
Honours Arts and Business (Regular/Co-op),University of Waterloo,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,360,English
Honours Bachelor of Applied Arts in Media & Communication Studies and Diploma in Media Communications,University of Guelph-Humber,"Bachelor of Applied Arts, BAA",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
Honours Bachelor of Applied Science in Early Childhood Studies and Diploma in Early Childhood Education,University of Guelph-Humber,"Bachelor of Applied Science, BASc",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
Honours Bachelor of Applied Science in Justice Studies and Diploma in Police Foundations OR Community and Justice Services,University of Guelph-Humber,"Bachelor of Applied Science, BASc",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
Honours Bachelor of Applied Science in Kinesiology and Diploma in Fitness and Health Promotion,University of Guelph-Humber,"Bachelor of Applied Science, BASc",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
Honours Bachelor of Applied Science in Psychology and Diploma in General Arts and Science,University of Guelph-Humber,"Bachelor of Applied Science, BASc",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
"Honours Bachelor of Arts with Major in Faith, Ethics and Justice (4 years)",University of Ottawa – Saint Paul University,"Bachelor of Arts, BA",70%,Practicum or internship option available,Open,English
Honours Bachelor of Business Administration and Diploma in Business Administration,University of Guelph-Humber,"Bachelor of Business Administration, BBA",Estimated cut-off admission range is 75–80%. Minimum 70% admission average to be considered.,Field placement,N/A,English
Honours Health Sciences I,McMaster University,"Bachelor of Health Sciences, BHSc",90%+ to be considered,Not Available,240,English
Honours Integrated Science I,McMaster University,"Bachelor of Science, BSc",A minimum of high 80s is required for consideration. Admission is by selection.,Not Available,60,English
Honours Science,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Honours Science,University of Waterloo,"Bachelor of Science, BSc",Low 80s,Not Available,130,English
Honours Science (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid 70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Honours Science Program – Computer Science,Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70-75%,Practicum or internship option available,200,English
Hospitality and Tourism Management,University of Guelph,"Bachelor of Commerce, BComm",80 to 86%,Co-op option available with this program,N/A,English
Hospitality and Tourism Management (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Low 70s,Co-op option available with this program,100										(total for all Hospitality and Tourism Management programs),English
Hospitality and Tourism Management Co-op,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Low 70s,Not Available,100										(total for all Hospitality and Tourism Management programs),English
Human Health Science,Ontario Tech University,"Bachelor of Health Science, BHSc",Low 70s,Practicum or internship option available,100,English
Human Kinetics,University of Guelph,"Bachelor of Science, BSc",78 to 84%,Faculty research opportunity,N/A,English
Human Kinetics (BHK) (4 years) - Education and Coaching (French Immersion Stream is available),University of Ottawa,"Bachelor of Human Kinetics, BHK",+/- 73 %; co-op 80%,Co-op or internship application available at the university after registration,212										The number of students enrolled in all the Human Kinetics disciplines last year,English
Human Kinetics (BHK) (4 years) - Recreation and Sport Management (French Immersion Stream is available),University of Ottawa,"Bachelor of Human Kinetics, BHK",+/- 73 %; co-op 80%,Co-op or internship application available at the university after registration,212										The number of students enrolled in all the Human Kinetics disciplines last year,English
Human Kinetics (BHK) (4 years) with Emphasis on Social Sciences (French Immersion Stream is available),University of Ottawa,"Bachelor of Human Kinetics, BHK",+/- 73 %; co-op 80%,Co-op or internship application available at the university after registration,212										The number of students enrolled in all the Human Kinetics disciplines last year,English
Human Kinetics – Bachelor of Science (BScHK) (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 73 %; co-op 80%,Co-op available by application after first year of studies,212										The number of students enrolled in all the Human Kinetics disciplines last year,English
Human Kinetics – Bachelor of Science (BScHK) (4 years) - Applied Studies in Kinesiology (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 73 %; co-op 80%,Co-op or internship application available at the university after registration,212										The number of students enrolled in all the Human Kinetics disciplines last year,English
"Human Relations and Spirituality (Certificate, Part-time Only) (1 year)",University of Ottawa – Saint Paul University,"Certificate, Cert",70% min.,Not Available,Open,English
Human Relations and Spirituality (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University,"Bachelor of Arts, BA",70% min.,Practicum or internship option available,Open,English
Human Resources Management (BHRM),York University,"Bachelor of Human Resources Management, BHRM",Mid- to high 70s,Co-op or internship option available,160										Open,English
Human Rights & Equity Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,25										Open,English
Human Rights (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Co-op or internship option available,664										(all Faculty of Liberal Arts programs combined),English
